Topic,Count,Name,Representation
13,66,13_plan_pension_scheme_benefit,"['plan', 'pension', 'scheme', 'benefit', 'defined', '2013', '2013 plan', 'defined benefit', 'retirement', 'original plan']"
14,64,14_fair_group_financial_cash,"['fair', 'group', 'financial', 'cash', 'fair value', 'value', 'instruments', 'rate', 'liabilities', 'financial instruments']"
15,63,15_receivables_credit_past_cii,"['receivables', 'credit', 'past', 'cii', 'days past', 'days', 'risk band', 'band', 'trade', 'risk']"
16,55,16_recycled_cotton_products_water,"['recycled', 'cotton', 'products', 'water', 'materials', 'plastic', 'product', 'waste', 'sustainable', 'packaging']"
17,55,17_director_executive_executive director_non executive,"['director', 'executive', 'executive director', 'non executive', 'experience', 'appointed', 'chief', 'non', 'plc', 'board']"
18,54,18_share_earnings_shares_cash,"['share', 'earnings', 'shares', 'cash', 'weighted average', 'average', 'earnings share', 'weighted', 'tax', 'january']"
19,51,19_ocado_adjusting_items_ocado retail,"['ocado', 'adjusting', 'items', 'ocado retail', 'adjusting items', 'retail limited', 'group', 'retail', 'limited', 'costs']"
20,51,20_emissions_energy_scope_carbon,"['emissions', 'energy', 'scope', 'carbon', 'renewable', 'electricity', 'data', 'based', 'gas', 'reporting']"
21,49,21_recognised_income_fair value_value,"['recognised', 'income', 'fair value', 'value', 'fair', 'cost', 'financial', 'amortised', 'amortised cost', 'asset']"
22,48,22_food_customers_colleagues_clothing,"['food', 'customers', 'colleagues', 'clothing', 'home', 'business', 'clothing home', 'growth', 'store', 'report']"
23,48,23_report_audit_statements_financial statements,"['report', 'audit', 'statements', 'financial statements', 'material', 'directors', 'financial', 'fraud', 'material misstatement', 'misstatement']"
24,48,24_asos_customers_fashion_customer,"['asos', 'customers', 'fashion', 'customer', 'asos plc', 'report', 'brands', 'product', 'brand', 'plc annual']"
25,47,25_grant_price_nil_00,"['grant', 'price', 'nil', '00', 'shares', 'options', 'volatility', '06', '10', 'years']"
26,47,26_viability_group_assessment_concern,"['viability', 'group', 'assessment', 'concern', 'period', 'going concern', 'business', 'financial', 'going', 'risks']"
27,47,27_crest_proxy_voting_meeting,"['crest', 'proxy', 'voting', 'meeting', 'vote', 'agm', 'website', 'shareholders', 'questions', 'question']"
28,44,28_assets_recognised_value_software,"['assets', 'recognised', 'value', 'software', 'group', 'costs', 'income', 'cost', 'asset', 'impairment']"
29,44,29_asos_cash_share_company,"['asos', 'cash', 'share', 'company', 'financial', 'limited', '31', '31 august', 'financial statements', 'statements']"
30,43,30_materiality_audit_components_group,"['materiality', 'audit', 'components', 'group', 'statements', 'scope', 'financial statements', 'performed', 'financial', 'procedures']"
31,42,31_food_ocado_customers_online,"['food', 'ocado', 'customers', 'online', 'clothing', 'customer', 'home', 'ocado retail', 'store', 'clothing home']"
32,42,32_sales_total_profit_segment,"['sales', 'total', 'profit', 'segment', 'statutory', 'retail', 'total sales', 'finance', 'revenue', 'online']"
33,41,33_statements_financial statements_financial_company,"['statements', 'financial statements', 'financial', 'company', 'parent company', 'parent', 'accordance', 'group', 'audit', 'accounting']"
34,40,34_shares_share_plan_company,"['shares', 'share', 'plan', 'company', 'awards', 'trust', 'year', 'options', 'granted', 'employees']"
35,39,35_customers_product_brand_customer,"['customers', 'product', 'brand', 'customer', 'fashion', 'business', 'brands', 'growth', 'new', 'best']"
36,35,36_audit_non audit_auditor_committee,"['audit', 'non audit', 'auditor', 'committee', 'external auditor', 'external', 'audit services', 'pwc', 'services', 'independence']"
37,35,37_bury_uk hollinsbrook_bury lancashire_way pilsworth,"['bury', 'uk hollinsbrook', 'bury lancashire', 'way pilsworth', 'bl9', 'bl9 8rr', 'hollinsbrook way', 'pilsworth', 'pilsworth bury', '8rr']"
38,34,38_emissions_carbon_zero_climate,"['emissions', 'carbon', 'zero', 'climate', 'energy', 'net zero', 'scope', 'targets', 'environmental', 'sustainability']"
39,33,39_fraud_audit_laws_laws regulations,"['fraud', 'audit', 'laws', 'laws regulations', 'regulations', 'non compliance', 'procedures', 'compliance', 'report', 'statements']"
40,33,40_inventory_provision_management_audit,"['inventory', 'provision', 'management', 'audit', 'key', 'provisions', 'group', 'key audit', 'judgement', 'model']"
41,33,41_100_limited_spencer_marks,"['100', 'limited', 'spencer', 'marks', 'marks spencer', 'road', 'ordinary 100', 'ordinary', '4at uk', '4at']"
42,33,42_million_cash_boohoo_000,"['million', 'cash', 'boohoo', '000', '000 000', 'share', 'boohoo group', 'limited', '2020', 'com']"
43,32,43_foundation_young_young people_people,"['foundation', 'young', 'young people', 'people', 'charity', 'support', 'charities', 'jd foundation', 'youth', 'jd']"
44,32,44_committee_board_audit_internal,"['committee', 'board', 'audit', 'internal', 'management', 'risk', 'meetings', 'audit committee', 'external', 'executive']"
45,31,45_esg_climate_committee_risks,"['esg', 'climate', 'committee', 'risks', 'related', 'climate related', 'strategy', 'governance', 'risks opportunities', 'opportunities']"
46,31,46_rent_store_lease_stores,"['rent', 'store', 'lease', 'stores', 'sales', 'retail', 'online', 'years', 'renewals', 'costs']"
47,30,47_cash_net_capital_year,"['cash', 'net', 'capital', 'year', 'net cash', 'cash flow', 'flow', 'assets', 'financial', 'activities']"
48,29,48_option_option price_million_acquire,"['option', 'option price', 'million', 'acquire', '31 january', 'sports', 'january', 'options', 'ended 31', 'jd sports']"
49,27,49_board_engagement_stakeholder_business,"['board', 'engagement', 'stakeholder', 'business', 'pages', 'employees', 'workforce', 'customers', 'stakeholders', '172']"
50,26,50_colleagues_people_support_diversity,"['colleagues', 'people', 'support', 'diversity', 'employees', 'gender', 'mental', 'health', 'wellbeing', 'female']"
51,25,51_pro_statutory_measures_sales,"['pro', 'statutory', 'measures', 'sales', 'ng', 'tax', 'joules', 'profit', 'items', 'alternative performance']"
52,24,52_asosers_asos_people_learning,"['asosers', 'asos', 'people', 'learning', 'apprenticeship', 'programme', 'new', 'talent', 'launched', 'support']"
53,24,53_board_committee_diversity_gender,"['board', 'committee', 'diversity', 'gender', 'senior', 'candidates', 'ethnic', 'experience', 'skills', 'female']"
54,23,54_audit_going concern_concern_going,"['audit', 'going concern', 'concern', 'going', 'key audit', 'matters', 'statements', 'material', 'financial statements', 'key']"
55,23,55_liabilities_assets_cash_financial,"['liabilities', 'assets', 'cash', 'financial', 'current', 'payables', 'trade', 'non', 'financial assets', 'total']"
56,22,56_ifrs_amendments_accounting_ias,"['ifrs', 'amendments', 'accounting', 'ias', 'financial', 'group', 'standards', 'financial statements', 'statements', 'estimates']"
57,22,57_safety_health safety_health_compliance,"['safety', 'health safety', 'health', 'compliance', 'risk', 'group', 'regulatory', 'business', 'legal', 'team']"
58,20,58_february_28_28 february_book value,"['february', '28', '28 february', 'book value', 'net book', 'manchester 100', 'book', 'st', 'st manchester', 'dale st']"
59,20,59_jd_communities_people_report,"['jd', 'communities', 'people', 'report', 'group', 'esg', 'sports', 'sports fashion', 'board', 'colleagues']"
60,20,60_pension_salary_lord wolfson_lord,"['pension', 'salary', 'lord wolfson', 'lord', 'wolfson', 'db', 'pensionable', 'contribution', 'supplement', 'service']"
